generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1781441404-WOCpRXUmuTTdUTOEuEMS,2026-06-14 12:50:04.401,0.000125,,-0.000011,,0,319,535,364,140,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,8928,671,Gemma Agent,TEst
gen-1781441391-3bkYGgWjUS1nl8PCCg8y,2026-06-14 12:49:51.390,0.000033,,-0.000004,,0,137,124,121,54,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,3201,777,Gemma Agent,TEst
gen-1781441385-qDD2cOXf18HAGDdoZ5gT,2026-06-14 12:49:45.741,0.000231,,-0.000005,,0,144,1133,1128,69,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,18079,773,Gemma Agent,TEst
gen-1781441383-2ZG43efAVV9FWfUbraQT,2026-06-14 12:49:43.065,0.000148,,-0.000005,,0,151,707,666,66,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,7828,737,Gemma Agent,TEst
gen-1781441380-GLyc8VcjsEDui4dFL6EA,2026-06-14 12:49:39.889,0.000068,,-0.000004,,0,151,295,284,61,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,5508,682,Gemma Agent,TEst
gen-1781441379-A9droIR4ejrrvygNdd9y,2026-06-14 12:49:39.655,0.000037,,-0.000005,,0,158,143,97,72,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,2930,896,Gemma Agent,TEst
gen-1781441368-DBLAdxQjnR0c4ZKHtuiY,2026-06-14 12:49:28.306,0.001377,,,,0,599,606,566,0,deepseek/deepseek-v4-pro-20260423,Baidu,standard,false,true,,stop,stop,10787,755,Gemma Agent,TEst
gen-emb-1781441366-M8K0ltdC86UVOyelLpWv,2026-06-14 12:49:26.784,0.000003,,,,0,87,,,,qwen/qwen3-embedding-8b,SiliconFlow,standard,false,false,,,,0,879,,TEst
gen-1781441331-x5Bzihr3CpYv2Pv2Q07M,2026-06-14 12:48:51.627,0.000303,,-0.000007,,0,212,1474,1212,91,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,16071,667,Gemma Agent,TEst
gen-1781441313-TlTT3Vo4pONr3aAZcZ30,2026-06-14 12:48:33.208,0.000264,,-0.000032,,0,827,1095,549,413,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,17638,588,Gemma Agent,TEst
gen-emb-1781441310-Vdg58KsAREMf33vwE3Vy,2026-06-14 12:48:29.927,0.000001,,,,0,29,,,,qwen/qwen3-embedding-8b,SiliconFlow,standard,false,false,,,,0,865,,TEst
gen-1781441308-n8WayBPIeLVz3fOtfTCP,2026-06-14 12:48:28.295,0,,,,0,680,36,0,0,liquid/lfm-2.5-1.2b-instruct-20260120,Liquid,free,false,true,,stop,stop,1034,155,Gemma Agent,TEst
gen-1781441307-xZD2Q5LA7v5BPoQNGgFO,2026-06-14 12:48:27.640,0,,,,0,372,1,0,0,liquid/lfm-2.5-1.2b-instruct-20260120,Liquid,free,false,true,,stop,stop,169,156,Gemma Agent,TEst
gen-1781441280-y3Ms2vbjDruIdzhbbY8Q,2026-06-14 12:48:00.397,0.00033,,-0.000014,,0,436,1536,1438,183,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,25361,608,Gemma Agent,TEst
gen-1781441249-etp78kU0zeuyS1xujrbg,2026-06-14 12:47:29.688,0.000083,,-0.000005,,0,165,369,235,67,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,6517,1695,Gemma Agent,TEst
gen-1781441246-cTCsTc2aPVeAG6KO5QoQ,2026-06-14 12:47:26.227,0.000128,,,,0,1120,41,0,0,openai/gpt-4.1-nano-2025-04-14,Azure,standard,false,true,,completed,stop,2952,2509,Gemma Agent,TEst
gen-1781441224-D803kYdAriAgitB04Ls9,2026-06-14 12:47:04.746,0.000312,,-0.000032,,0,836,1340,675,418,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,20905,728,Gemma Agent,TEst
gen-emb-1781441220-MUNYN0jS3all9T1qoTfg,2026-06-14 12:47:00.398,0.000001,,,,0,32,,,,qwen/qwen3-embedding-8b,SiliconFlow,standard,false,false,,,,0,1765,,TEst
gen-1781441219-ptMqWHrHqUxrcZjiQmob,2026-06-14 12:46:58.934,0,,,,0,682,36,0,0,liquid/lfm-2.5-1.2b-instruct-20260120,Liquid,free,false,true,,stop,stop,217,142,Gemma Agent,TEst
gen-1781441218-ooUKXUnWx8Ex6bYThzQe,2026-06-14 12:46:57.904,0,,,,0,374,1,0,0,liquid/lfm-2.5-1.2b-instruct-20260120,Liquid,free,false,true,,stop,stop,367,367,Gemma Agent,TEst
gen-1781440948-0LbNChAQGCCyokTVm0H4,2026-06-14 12:42:28.802,0.068591,,,,0,17,1581,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,9777,9747,Gemma Agent,TEst
gen-1781440916-Xinjbzw0VQBns6NSBLom,2026-06-14 12:41:56.243,0.001003,,-0.000474,,0,13732,656,426,6042,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,8173,5699,Gemma Agent,TEst
gen-1781440899-9TJohODSKdiMtIq6lwQO,2026-06-14 12:41:39.430,0.00089,,-0.000518,,0,13732,301,300,6591,deepseek/deepseek-v4-flash-20260423,Baidu,standard,false,true,,stop,stop,6302,1255,Gemma Agent,TEst
gen-emb-1781440896-kTHeXKB3kTuHfTt7bl1D,2026-06-14 12:41:36.397,0,,,,0,4,,,,qwen/qwen3-embedding-8b,SiliconFlow,standard,false,false,,,,0,1670,,TEst
gen-emb-1781440895-59s2rxICqoFf0dPrPaDz,2026-06-14 12:41:35.405,0,,,,0,4,,,,qwen/qwen3-embedding-8b,SiliconFlow,standard,false,false,,,,0,451,,TEst
